Plans;Int1;Int2;Int3;Int4;Int5;Int6;Work1;Work2;Work3;Work4;Work5;Work6;Ext1;Ext2;Ext3;Ext4;Ext5;Ext6;Ext7;Ext8;Age;Gender
6;2;5;5;5;3;6;5;4;4;4;6;6;5;2;4;4;6;6;5;5;;
2;3;4;6;6;7;5;7;7;6;5;4;5;3;4;4;6;7;6;4;6;;
3;5;1;7;7;7;5;6;4;6;7;7;7;7;5;7;7;7;6;2;5;;
1;5;3;5;4;4;4;4;4;4;4;4;6;4;4;4;4;5;4;3;6;;
4;3;3;4;1;2;2;4;5;5;3;6;6;4;4;3;4;5;6;4;6;;
7;1;6;6;1;2;1;4;2;3;3;4;4;3;2;6;3;1;6;7;5;;
1;6;6;5;2;7;5;7;1;7;5;7;1;6;5;1;6;4;7;5;1;;
5;5;1;4;1;4;2;1;1;1;5;7;1;4;1;4;5;5;7;4;5;;
1;5;1;5;2;7;1;7;7;7;7;7;7;7;7;7;7;7;6;5;7;;
1;7;5;7;2;7;5;6;7;7;6;7;6;6;7;7;7;7;7;7;7;;
3;3;5;3;2;5;3;6;3;3;5;7;7;6;5;6;5;6;5;4;5;;
5;4;6;6;1;4;5;1;1;5;4;6;6;4;1;3;4;6;5;3;6;;
4;6;5;7;5;4;7;4;5;3;6;5;3;3;3;5;3;5;6;3;3;;
2;5;5;7;5;4;6;5;6;5;5;6;6;7;6;6;6;5;6;3;5;;
6;4;7;5;6;5;7;7;2;4;4;5;6;2;5;4;5;7;6;2;5;;
2;5;6;5;6;6;6;5;3;5;5;5;7;5;5;4;6;7;3;2;6;;
1;7;5;4;7;7;5;3;7;7;5;7;7;2;6;6;7;3;7;2;7;;
1;5;5;3;6;7;4;6;7;6;5;5;7;5;7;5;6;7;3;5;7;;
1;3;2;4;7;6;2;6;7;6;5;5;7;4;7;3;7;3;6;2;5;;
6;5;3;4;5;4;2;2;3;4;2;4;5;2;3;2;2;2;5;6;2;;
2;7;2;3;6;4;7;7;7;6;6;7;7;3;4;6;5;1;6;2;6;;
4;1;3;5;6;6;7;6;5;6;6;5;6;3;4;5;5;7;7;4;6;;
1;2;1;2;6;7;4;6;6;6;5;6;6;5;5;6;7;7;5;3;4;;
1;4;3;6;5;5;5;7;7;7;6;7;7;6;7;4;7;7;5;5;7;;
2;1;4;7;5;7;5;7;7;7;7;7;7;7;7;7;7;7;7;4;7;;
5;3;7;5;5;7;7;7;7;5;7;5;5;5;5;7;5;4;4;5;4;;
1;1;5;7;7;7;7;7;7;7;7;5;5;7;7;7;7;3;5;2;5;;
